 ALLIANCE 1 WNW       NE
 month, day, year, hour,  T-High     F    , T-Low      F    , Precip   inches ,  Snow    inches ,
  1,  1, 1953, 9999,   38.000,   20.000,    0.000,    0.000,
  1,  2, 1953, 9999,   35.000,   18.000,    0.000,    0.000,
  1,  3, 1953, 9999,   46.000,   19.000,    0.000,    0.000,
  1,  4, 1953, 9999,   39.000,   29.000,    0.000,    0.000,
  1,  5, 1953, 9999,   37.000,   19.000,    0.000,    0.000,
  1,  6, 1953, 9999,   23.000,   10.000,    0.000,    0.000,
  1,  7, 1953, 9999,   48.000,   15.000,    0.000,    0.000,
  1,  8, 1953, 9999,   48.000,   27.000,    0.000,    0.000,
  1,  9, 1953, 9999,   62.000,   25.000,    0.000,    0.000,
  1, 10, 1953, 9999,   49.000,   31.000,    0.000,    0.000,
  1, 11, 1953, 9999,   64.000,   30.000,    0.000,    0.000,
  1, 12, 1953, 9999,   60.000,   37.000,    0.000,    0.000,
  1, 13, 1953, 9999,   60.000,   25.000,    0.000,    0.000,
  1, 14, 1953, 9999,   26.000,   -3.000,    0.210,    3.000,
  1, 15, 1953, 9999,   14.000,   -5.000,    0.030,    1.000,
  1, 16, 1953, 9999,   38.000,    2.000,    0.000,    0.000,
  1, 17, 1953, 9999,   45.000,   11.000,    0.000,    0.000,
  1, 18, 1953, 9999,   45.000,   27.000,    0.000,    0.000,
  1, 19, 1953, 9999,   44.000,   26.000,    0.000,    0.000,
  1, 20, 1953, 9999,   53.000,   25.000,    0.000,    0.000,
  1, 21, 1953, 9999,   53.000,   30.000,    0.010,    0.000,
  1, 22, 1953, 9999,   41.000,   28.000,    0.000,    0.000,
  1, 23, 1953, 9999,   46.000,   27.000,    0.000,    0.000,
  1, 24, 1953, 9999,   58.000,   33.000,    0.000,    0.000,
  1, 25, 1953, 9999,   61.000,   36.000,    0.000,    0.000,
  1, 26, 1953, 9999,   52.000,   36.000,    0.000,    0.000,
  1, 27, 1953, 9999,   41.000,   20.000,    0.000,    0.000,
  1, 28, 1953, 9999,   46.000,   22.000,    0.000,    0.000,
  1, 29, 1953, 9999,   57.000,   34.000,    0.000,    0.000,
  1, 30, 1953, 9999,   50.000,   27.000,    0.000,    0.000,
  1, 31, 1953, 9999,   58.000,   27.000,    0.000,    0.000,
  2,  1, 1953, 9999,   64.000,   30.000,    0.000,    0.000,
  2,  2, 1953, 9999,   54.000,   25.000,    0.000,    0.000,
  2,  3, 1953, 9999,   58.000,   34.000,    0.000,    0.000,
  2,  4, 1953, 9999,   63.000,   33.000,    0.100,    0.000,
  2,  5, 1953, 9999,   40.000,   24.000,    0.000,    0.000,
  2,  6, 1953, 9999,   40.000,   24.000,    0.000,    0.000,
  2,  7, 1953, 9999,   45.000,   24.000,    0.000,    0.000,
  2,  8, 1953, 9999,   46.000,   27.000,    0.000,    0.000,
  2,  9, 1953, 9999,   42.000,   11.000,    0.440,    7.000,
  2, 10, 1953, 9999,   27.000,    2.000,    0.000,    0.000,
  2, 11, 1953, 9999,   33.000,   10.000,    0.000,    0.000,
  2, 12, 1953, 9999,   30.000,   11.000,    0.000,    0.000,
  2, 13, 1953, 9999,   37.000,   12.000,    0.000,    0.000,
  2, 14, 1953, 9999,   36.000,   21.000,    0.000,    0.000,
  2, 15, 1953, 9999,   45.000,   24.000,    0.000,    0.000,
  2, 16, 1953, 9999,   42.000,   17.000,    0.000,    0.000,
  2, 17, 1953, 9999,   48.000,   19.000,    0.000,    0.000,
  2, 18, 1953, 9999,   47.000,   22.000,    0.000,    0.000,
  2, 19, 1953, 9999,   22.000,    8.000,    0.270,    4.000,
  2, 20, 1953, 9999,   16.000,    0.000,    0.200,    2.000,
  2, 21, 1953, 9999,   25.000,   -2.000,    0.000,    0.000,
  2, 22, 1953, 9999,   40.000,   11.000,    0.000,    0.000,
  2, 23, 1953, 9999,   39.000,   14.000,    0.000,    0.000,
  2, 24, 1953, 9999,   25.000,   19.000,    0.000,    0.000,
  2, 25, 1953, 9999,   36.000,   12.000,    0.000,    0.000,
  2, 26, 1953, 9999,   51.000,   24.000,    0.000,    0.000,
  2, 27, 1953, 9999,   42.000,   26.000,    0.000,    0.000,
  2, 28, 1953, 9999,   32.000,   24.000,    0.000,    0.000,
  3,  1, 1953, 9999,   25.000,   15.000,    0.220,    5.000,
  3,  2, 1953, 9999,   32.000,    2.000,    0.000,    0.000,
  3,  3, 1953, 9999,   25.000,    0.000,    0.000,    0.000,
  3,  4, 1953, 9999,   40.000,   12.000,    0.000,    0.000,
  3,  5, 1953, 9999,   46.000,   27.000,    0.000,    0.000,
  3,  6, 1953, 9999,   37.000,   12.000,    0.000,    0.000,
  3,  7, 1953, 9999,   51.000,   29.000,    0.000,    0.000,
  3,  8, 1953, 9999,   56.000,   26.000,    0.000,    0.000,
  3,  9, 1953, 9999,   58.000,   28.000,    0.000,    0.000,
  3, 10, 1953, 9999,   62.000,   33.000,    0.000,    0.000,
  3, 11, 1953, 9999,   59.000,   31.000,    0.000,    0.000,
  3, 12, 1953, 9999,   62.000,   26.000,    0.000,    0.000,
  3, 13, 1953, 9999,   62.000,   34.000,    0.000,    0.000,
  3, 14, 1953, 9999,   42.000,   26.000,    0.000,    0.000,
  3, 15, 1953, 9999,   57.000,   19.000,    0.000,    0.000,
  3, 16, 1953, 9999,   61.000,   30.000,    0.000,    0.000,
  3, 17, 1953, 9999,   66.000,   31.000,    0.000,    0.000,
  3, 18, 1953, 9999,   48.000,   24.000,    0.000,    0.000,
  3, 19, 1953, 9999,   66.000,   28.000,    0.000,    0.000,
  3, 20, 1953, 9999,   67.000,   35.000,    0.090,    0.000,
  3, 21, 1953, 9999,   49.000,   30.000,    0.000,    0.000,
  3, 22, 1953, 9999,   50.000,   24.000,    0.000,    0.000,
  3, 23, 1953, 9999,   45.000,   22.000,    0.000,    0.000,
  3, 24, 1953, 9999,   50.000,   24.000,    0.000,    0.000,
  3, 25, 1953, 9999,   65.000,   25.000,    0.000,    0.000,
  3, 26, 1953, 9999,   59.000,   28.000,    0.000,    0.000,
  3, 27, 1953, 9999,   64.000,   32.000,    0.000,    0.000,
  3, 28, 1953, 9999,   66.000,   31.000,    0.000,    0.000,
  3, 29, 1953, 9999,   68.000,   38.000,    0.000,    0.000,
  3, 30, 1953, 9999,   54.000,   37.000,    0.000,    0.000,
  3, 31, 1953, 9999,   58.000,   35.000,    0.000,    0.000,
